CS458 Natural Language Processing
BCS-9A
Assignment 2
Taimoor Khan
•
Oct 18, 2020
100 points
Due Oct 26, 2020
Perform text classification using the attached dataset. Try different classifiers and report their accuracy.

Movies_TV.txt
Text
Class comments

Your work
Turned in

knn_classification.ipynb
Colaboratory

Movies_TV.csv
Excel
Private comments


Domain	Label	Rating	Review
Movies_TV	NEG	2	for a suspense movie , it be not very suspensful . Will Smith play a poor character , with a weak support cast . the plot be good , but poorly execute . maybe worth a rental , but I would not buy it .
Movies_TV	POS	5	this be one of the only movie heavily portray computer and technology that do not make I gag and cough . sure there be a few flaw here and liberty take there , but overall , it be awesome and frighteningly realistic -- almost too savvy for a general-audience movie . a lot go into this movie and it show .  as for the guy who be rag on it and could not believe that kind of monitoring could be go on , all I can say be ignorance be bliss . maybe he have not hear about Echelon .
Movies_TV	POS	4	its great to see Hackman reprise he operative character from `` the conversation '' .  the point of this film as to how far along we be towards `` 1984 '' and `` Big Brother '' be perhaps indicate by we lack of alarm about it . its interesting what the situational awareness the Feds can gain by have a emittor on the Will Smith character , its instructive conceptually as to how you could steer yourself and other unit to intercept or stay close without get too close . but this technology be show to collapse when the sensor be not `` cheating '' by the emittor and have to use line-of-sight collection mean to stay in contact with they prey in a cluttered urban environment . if you watch the film conceptually as a demonstration of military and possibly totalitarean technology its worth 4 star . if you watch it for entertainment and plausibility it lack realism since if the corrupt Feds want the Will Smith character 's tape they would have barge in , kill he and make it look like something else . of course there would be no film and chase then .  we should reject violently these `` reality '' tv show where such totalitarean surveillance means be take in jest like its a mere popularity contest : if you become a `` enemy of the state '' you get vote to be `` banish '' might not be a laughing matter .
Movies_TV	POS	5	excellent theme , plot , and act . effect be great and the gadget be cool . the language be pretty bad but the movie keep you on the edge of you seat ask question like , what will happen next ? or , be he gonna die ? I recommend this movie as a great action movie !
Movies_TV	POS	5	what can I say that have not be say about this wonderful series . grow up in the late 70 's and 80 's some of my best memory be watch this show on PBS . I love all the crazy alien and cheesy effect and most of all the awesome theme song . now the doctor be back and the show be better than ever . I like CE 's doctor but DT 's be amazing and he hit the character right on the head . the effect be still a bit cheesy but that what make the show timeless and great . the write on the show be some of the best in tv history and the support cast be wonderful as well . I can not wait for season 3 ! best episode in my opinion be the Girl in the Fireplace .
Movies_TV	POS	5	enemy of the state star will Smith and Gene Hackman . neither of these fine actor make a bad movie that I know of . this be a fine thriller movie about government surveillance and a bad national security agent play by Jon Voight . the good news be that the surveillance technology feature in this movie be for real and target against US enemy . the bad news be that sometimes the government thing we be the enemy .
Movies_TV	NEU	3	I would enjoy this a lot more if Hemalayaa be not constantly make ` sexy eye ' at the camera . it be a shame , the dance move be fun and you can get a reasonable workout from this video . but while you be work out , the instructor will be stare at you like you be a white chocolate and raspberry muffin , which be a bit off-putting .
Movies_TV	POS	5	oftentimes straight to dvd sequel be less than stellar accomplishment . but Cinderella III be a delight ! my 3-year-old daughter -lrb- almost four , as she like to point out ! -rrb- love this movie , and even she older brother enjoy it ! as a parent I also enjoy the movie - the song be great , and it really be a interesting story . it be a dvd worthy of the Cinderella legacy .
Movies_TV	POS	5	this movie be great ! especially after the horror of Cinderella II , which be so bad that it be traumatic ! this be the true sequel to the classic Cinderella story . the story be interesting and move . you really get wrap up in Cinderella 's plight as the Stepmother 's level of evil go through the roof . Prince charming finally get a personality , and he be such a wonderful character ! the animation and voice be so well do that I believe this could have make it in the theater ! even the song be very enjoyable , though Disney sequel song often leave a great deal to be desire . skip Cinderella II and go right to this movie !
Movies_TV	POS	4	okay , even if the 3d `` interpolation '' bit be more than a stretch , the rest of the movie stay well within the reach of not-too-unreasonable suspicion . who know what more than 20 acre of underground computing facility can produce ? -lrb- and do not let anybody tell you they have not get such thing , especially if they live within 100 mile of Fort Meade , MD. -rrb- sprinkled amidst imaginative depiction of technical espionage , you 'll also find historically accurate reference to the NSA 's situation in Iran in the early eighty , a discreetly present faraday cage , and maybe a occasional NSA in-joke ...
Movies_TV	POS	5	my daughter love the movie and still watch it every week . ship be a breeze as well . arrive at my home be less than the project time .
Movies_TV	NEU	3	it be SAD that DISNEY have become the MULTIZILLION DOLLAR INSTITUTION that it have . if it be still under the WATCHFUL CARING EYES of WALT DISNEY HIMSELF , I do not THINK the dvd version of THIS movie I just purchase WOULD be the same . the movie of COURSE be as great as it always was - a wonder of ARTISTRY & FANTASY SEAMLESSLY blend together . the color be as beautiful as ever . the SOUND be O.K. , BUT I would THINK that DISNEY COULD DO SOMETHING in the way of restoration as far as the HISS that be very noticeable - especially in the louder passage .  i ALSO AM no DUMMY when it come to GENERAL dvd knowledge , but I be totally confused look at the back of the dvd case as to WHETHER THIS MOVIE WAS A WIDESCREEN VERSION or FULL SCREEN . it clearly state in miniscule letter under the run time that PETER PAN be PRESENTED in ITS ORIGINAL THEATRICAL ASPECT RATIO , APPROX . 1.33:1 . I -lrb- and probably anyone else besides ROGER EBERT -rrb- WOULD GUESS that this mean it appear as it be originally show in THEATRES - WIDESCREEN ! I be more than tick to find LATER that it be in fact a pan and scan version , and after pay not a SMALL SUM of MONEY , I feel a little rooked .  my suggestion be to keep watch that WORN OUT VHS COPY UNTIL DISNEY decide to invest a little more in one of their crown achievement . oh and do not WORRY TOO MUCH ABOUT that LIMITED ISSUE NONSENSE MEANING that THEY ONLY MANUFACTURE EACH MOVIE TITLE ON A LIMITED NUMBER RUN ONLY once per generation -lrb- with DISNEY , GENERATIONS be BORN QUITE OFTEN -rrb- . right now , THEY OBVIOUSLY be have a gigantic case of TIGHTWADITIS and YET be still pricing THEIR TITLES WELL above OTHER studio . sad , sad , sad !  i ONLY HOPE WE all can see this movie in ITS FULL WIDESCREEN GLORY and SOUND SOON ! PETER PAN in ITSELF be still magical !
Movies_TV	NEU	3	season one of the show in reincarnated form be not bad . the older doctor have a air of experience and wisdom . season two 's younger version of the doctor seem to lack that . the actor have he own humor and twist to the character . we 'll have to see how the season and series progress with he in the role .
Movies_TV	POS	4	it ia a fantastic story as you expect it to be . but why do all happen in one day ? the spell , the wedding plasn , cinderellum find the prince , the bad stepmother send she away ... all of it . could not they make it last more ??? let hope the next one will be better .
Movies_TV	POS	4	action-wizard Tony Scott 's latest be a technically brilliant , visually stunnung experience that be also very frightening . let 's all pray that this will remain fiction - always . or be it already too late ... ?
Movies_TV	NEU	3	Peter Pan and old time classic ... I see this movie with my wife and grand child and one of the children name be wendy which make the movie very special . Love captain hook and the crocodile ... the graphic we have today spoil a person and the graphic in this movie be disappointing , but the story line remain great ... the game be ... so , so ... overall slightly above average satisfaction .
Movies_TV	POS	5	I be very pleased with the second series of Dr who . in my view David Tennant make a excellent replacement for Eccleston -lrb- who while good , do not seem to fit into the role naturally -rrb- . the storyline take a darker turn , with the rise of the sinister government agency Torchwood . several new and old adversary return , include the dreaded cyberman . the start and end to the series be both very well do , with the right balance between action , humor , and plot . the series also engage in some intriuging exploration , include a episode feature the visit to a planet orbit a black hole , to revolutionary France , and to another paralell universe . the series end on a promising note , and I be sure it will only get better from this point onward .
Movies_TV	POS	5	I never get try of this movie . the act , chase scene and sound keep I glue to my seat .
Movies_TV	POS	5	this be easily one of the best movie i have ever see . now , of course there be part in it that not everyone should see , but i think it be worth cover you son\/daughter 's eye . now i be a kid on they side and i be allow to see this because Will Smith be one of my favorite actor , so i see the whole thing . -lrb- i be 13 -rrb- in conclusion , i think that this be a very suitible movie for , let say 9 and up . thanks will
Movies_TV	NEU	3	in this third dvd edition of the Disney classic , the color have be drastically alter , the contrast be subdue and the bitrate be not very high . the color be slant , not so much towards yellow as towards gold . everything be imbue with a golden glow which make Tinker Bell the real heroine of the story and bring out the golden highlight on everything from Mr. Darling 's cuff link to the golden ornament on Hook 's ship . Peter Pan 's tunic be at time almost goldenrod instead of Lincoln green . there be no true blue sky , just a variant of egyptian Blue . neverland sometimes look like you lazy neighbor 's parch garden . the sky be often milky white or beige . the red and blue wallpaper in the darling child 's bedroom be now brownish . Mermaid lagoon have lose its greenery and turn a repulsive labium pink ... the funny thing be , once you accept that the action take place in Neverland in the fall , with lot of brown , yellow and orange leaf everywhere , you sort of learn to like it . it be a wild , one might say `` experimental '' , concept that must have be arrive at after much joint-smoking at DTS Digital image -lrb- the restorer -rrb- . it be not so much a restoration as a revision . and then , not so much a Technicolor restoration as a eastmancolor restoration -lrb- little joke here -rrb- . it be very strange . on the down side , the Redskins have turn a politically correct pink . on the plus side , every brown and yellow surface be make to shine unnaturally , even at night , and lot of thing be visible in the dark that be not before . the reverse be true in the daytime . more revisionism : I notice a slight shimmy in the London cityscape at night just before the camera pan up to Neverland have be eliminate in this version . can they do that ? in the indoor scene , this slant towards yellow make sense as it replicate the warm , nostalgic , homey glow of lamplight . otherwise ... the best thing I can say be that it give the viewer a brand new -lrb- though some might say old-fashioned -rrb- perspective on a film he be see maybe too often and the total effect be dream-like and reminiscent of a yellowed full-colour illustration in a old picture book . a quick look at the numerous art gallery in the extra will remind you that there should have be a whole lot more green and blue everywhere accord to the original artwork . as the picture be slightly zoom out compare to previous version , this too add to the majesty and delicacy of the action . it be less `` in you face '' . where the pe really shine , though , be in the sound department which might persuade I to buy this edition -lrb- I only rent -rrb- . the whole soundtrack -lrb- dialog , singing voice , orchestra , sound effect -rrb- have be completely rethought , refurbish and rechannel creatively for 5.1 -lrb- in french and spanish too -rrb- . there be a lot of work evident also in the original mono track . but in the enhance home theater mix -lrb- the word `` enhance '' appear three time on the cover -rrb- , very interesting thing happen . the dialog be mostly in the center speaker but the music come regularly through the other four speaker . at some point , individual instrument be make to come through all the surround speaker -lrb- like the harp , when Peter appear on the rooftop , instead of the flute , like you might guess -rrb- . the sound of instrument and voice have be give more resonance . it be less harsh , dry or abrupt . the child voice be almost bearable in this version . there be nothing grate in the brass or in any other part of the orchestra . everything sound modern , natural and free-flowing . of course , the sound effect have be amplify with bass and the mix make good use of directional effect -lrb- Tinker Bell 's glockenspiel and celeste , the crocodile 's tick clock , Peter 's ghostly voice in Skull Rock -rrb- . the whole film become a symphony where the music take center stage without overshadow the character voice , which be now disentangle from the surrounding music . this be another element that add to the dream-like quality of the whole and one that I like very much . by comparison , the 5.1 mix of the special edition -lrb- 2002 -rrb- and the 4.0 mix of the limited edition -lrb- 1999 -rrb- be only fat , untreated mono with lot of harshness in the loud passage and instability in the soft one . well ... consider the radical change make to the color palette , maybe they could have call this the `` Golden Slumbers Edition '' or `` Pixy dust Edition '' or , better still `` global warming edition '' ... and it be not something you can correct with the Tint button -lrb- which add red or green -rrb- or with the Cold setting -lrb- which add a little blue -rrb- . but it be perfect if you be sound-oriented and a improve sound be very important to you , if you have no memory of what `` Peter Pan '' use to look like or if you really picture Hook 's harpsichord as be make of solid gold .
Movies_TV	POS	5	my kid can not get enough of this story-they act it out and view the dvd nonstop since new year holiday . it be a wonderful product
Movies_TV	POS	5	definately worth the price . one of Disney 's best movie , but the lack of musical scene hurt the almost perfect picture .
Movies_TV	POS	4	everyone know how great this movie be and what a milestone it be for the Disney company , so I will not ramble on about it , but I think it be very important for everyone buy it for the documentary include on the tape to know that it be not on there , so do not waste you time look . I think I have a bad tape , so I call Disney and they tell I that somewhere in editing , they have make a mistake , and forget to put the documentary on the tape . ooops ! avoid the mess and just get the dvd .
Movies_TV	NEG	1	I want my 5 yr . old twin grandson to be able to see what a great movie Peter Pan . they love it !
Movies_TV	POS	5	Director Tony Scott 's ENEMY of the state be a engaging thriller . this film cover territory frequently traverse by Alfred Hitchcock , namely that of `` the wrong man '' be place in jeopardy without any plausible explanation . brilliantly play , Will Smith be that man . this film run at a breakneck pace as the NSA pursue Smith for something he unwittingly have be hand . Smith eventually become team with Gene Hackman who play a former NSA operative on the lamb . Hackman 's character here seem base on he character from Francis Ford Coppola 's the conversation . Gene Hackman be very good at what he do and he steal this film in the process . the pace be frenetic with the latest high tech surveillance devise include satellite gp system track Smith and Hackman 's every move . the climax be riveting with NSA bad guy Jon Voight and mob boss Tom Sizemore buck head . composer Trevor Rabin 's contribution to the score be very effective . Gabriel Byrne have a brief but pivotal scene . this be a good one .
Movies_TV	POS	4	the plot be excellent , gene hackman and will smith be excellent but one thing that get I extremely aggravate be the innaccurate portrayal of the NSA and they agent , especially the agent , I mean who on earth be gonna believe seth green jack black and all those actor from go in 60 seconds and save private ryan be real nsa agent , they acting be so off and i could never for a second believe any of they have the intelligence nor the ability to work for any federal agency other than the post office . if you be gonna choose bad guy , choose bad guy that we can believe be truely bad not just dim-witted .
Movies_TV	POS	5	I have like all the version of Peter Pan make over the year -lrb- such as hook , and more recently P.J. Hogan 's Peter Pan -rrb- , but Disney 's 1953 version will always be my favorite . I have love this movie since I be a young , and I still enjoy watch it today . the music be terrific , the animation be beautiful , and -lrb- despite what other may think -rrb- wonderfully depict J.M. Barrie 's classic novel about a boy who would not grow up . I would recommend this to anyone who enjoy classic Disney film and\/or the original novel .
Movies_TV	POS	5	I purchase this dvd for my niece . it be a excellent value . order be very easy and the dvd arrive in a timely manner . excellent !
Movies_TV	POS	5	if season 1 be a bit slow to start only to finish on a high note , season 2 pick up quality-wise where season 1 stop , and get better along the way . the script be definitely better write and less fill with hole and short cut . David Tennant as the new doctor be very different from Christopher Eccleston -lrb- more London , less northern -rrb- , and I think I prefer Eccleston , but that be not to say that Tennant 's performance be not great , and very enjoyable . a hugely entertaining series .
Movies_TV	POS	5	I see the trailer and think this movie would suck . but once I step in the theater , I be utterly impressed . Will Smith deliver a wonderful performance show we a new side to he mistique . I think it make we all wonder about technology . before anyone get crazy , that cant really happen , ok . still the thought be entertaining : = -rrb-
Movies_TV	POS	5	my daughter -lrb- 3 year -rrb- and I enjoy this movie as much as the original . really pleased and surprised on how entertaining it be . save you money , and forgo the Cinderella II .
Movies_TV	POS	4	the critic be not fair to this one . it be one of the best look , best act , most well write action\/suspense film I have ever see . yes , it have the obvious car crash , high speed and on foot chase , shootout , and explosion , but this movie use basic intelligence as its main drive force . the other action movie cliche that I just mention be use very wisely and sometimes very funny . this be one of the most well think out action movie I have ever see , and I highly recomend it .
Movies_TV	NEG	1	a very long and boring movie to say the least . it be way too confusing and have enough story for 3 movie . it get too frantic sometimes and the end be all mess and keep I way too confused . not enough explain . good act though -lrb- which be what save it -rrb- but there be way to much empty space in between .
Movies_TV	POS	5	this be one film which use modern technology in one of the most useful way . the main draw of the film other than the excellent , all-star cast -lrb- will Smith , Gene Hackman , Jon Voight , Gabriel Byrne . . -rrb- be the clever use of editing and camera technology to draw suspense and awe to a viewer . Smith 's paranoid performance be the best of he career -lrb- hate he in id4 and mib -rrb- and Gene Hackman -lrb- good guy finally -rrb- basically reprise he character from the conversation in he best performance of all he seemingly endless action-thriller . I think this be Jerry Bruckheimer 's best film yet . . intelligent , witty , suspenseful , well-acted , well-directed , polished .
Movies_TV	NEG	1	this movie be HORRIBLE . it be another example of Hollywood 's distortion of fact . there be absoulutly no way the NSA or anyone else could do the thing that this movie profess that they can . no computer in the world , no matter how powerful , can `` rotate '' a fix image . not to mention the fact that there be no way that there be camera everywhere ! by the way , satellite be retask in a matter of hour , not seconds . there be not a single facet of this movie which I consider to be valid . I have to stop watch it because I be so disgusted . please ! do not encourage the production of more movie like this one by buy it !
Movies_TV	POS	5	we have to wait a while to get this set , but it be worth the wait ! Great act , story line , and special effect !
Movies_TV	POS	4	this be a smart movie that live on the premise big Brother be watch Us . this movie make a statement about we society . that be the lack of privacy we have as american . I would hope all movie could make some sort of statement such as that . the plot be what make this movie a winner . except for a unsatisfying ending , I like this film .
Movies_TV	NEU	3	this be a video I wish I could love , but that just do not do it for I . part of it be sheer silliness - flubb the lip in the warm-up ? - and part of it be that Hemalayaa 's narration style bother I . -lrb- it might work for other people , but I find she to be a bit too flip . -rrb- there be the occasional odd transition , and the background dancer be sometimes do something completely different from what Hemalayaa be demonstrate , which be confuse - be it a modification for more\/less advanced viewer ? be it bad cue ? what ? as far as the workout go , it be actually pretty fun . the move might not necessarily be Bollywood , but they have get enough of the flavor to offer something different from a lot of the dance-style video out there . the move be generally easy enough for anyone to follow , although people with bad knee may find the emphasis on knee movement to be difficult or painful ; it be more high-impact than not , with a fair amount of hop in the workout proper . there be a lot of repetition , which make pick up the move very easy but which can make thing a little boring . overall , this video be a mixed bag for I . the workout be enjoyable but the narration be not , and the hop may be a bit much for a lot of people . I would recommend try to find this at a local library before buy it , I think .
Movies_TV	NEG	2	when I buy the Peter Pan special edition I have forget the racist portrayal of the Indians in the movie . they do live in Neverland but will kid make the distinction that if they live in Neverland it be make believe ? will they understand that not all Indians say Ugg and how like the one in this movie ? I do not remember the `` what make the Red Man Red '' number from when I be kid but that be before video . now kid can watch it over and over again . also , my copy do not have the `` making of '' short even though it say it do on the case . this be very disappointing because I be hope it would address the racism issue .
Movies_TV	POS	5	this be a really fun workout dvd , and totally accessible to anyone . grant , I be not a fitness guru but I do try to get 20 to 40 minute of moderate exercise most day and this certainly count . I be certain it be not the most intense kick you butt workout on the market , but it make I sweat , feel great and do not bear I to tear . the exercise be a nice mix of fun\/sexy -lrb- without make I feel trashy -rrb- and I do not feel the need to have any dance ability to get something out of it . -lrb- of course my husband be ban from the room when I do the workout -rrb- after enough time watch the dvd with the instruction , I be able to mute the sound and play some high energy music on top of it to keep it fresh and more cater to my style . I do skip a couple of move that my body do not like , but I just dance around the music instead . it be a great stress relief ! I would highly recommend this dvd for anyone look to keep active but want something a little more fun than a regular workout dvd .
Movies_TV	POS	5	I recieve the movie within 2 day and it play great no scratch or skip , my family love it .
Movies_TV	POS	5	David be my third all time fave doctor -lrb- behind Tom Baker and Chris Eccleston -rrb- . remarkable job , the last episode be sure to make one weep tear of sadness .
Movies_TV	POS	5	this Two-Disc platinum edition of Peter Pan be the first really good dvd version of this classic film that have be release , and be far more superior to the earlier dvd release of Peter Pan . one thing that stick out to I in this version of Peter Pan be the stunning color . it look so good that I notice thing I have never notice before , so I do recommend this movie to collector and other who never want to grow up .
Movies_TV	POS	5	Will Smith do a excellent job in this movie . he be the best action actor I think there be right now . this be my favorite Will Smith movie out of they all .
Movies_TV	POS	5	you can fly you can fly , you can fly !!!! where the imagination can take you into far away land you 'll never forget TinkerBell ! do not we all love she ! I be trouble by the depiction of native american though . what make the red man red ? I think this be the only set back to the film there be some prejudice there that I be not happy with . do not we all wanna stay as child ? we all miss we childhood . this film be by far one of the best film to relive you childhood .
Movies_TV	POS	5	this movie be so great , it be hard to put into word ... the action move so fast , and the camera just as fast ... I nominate this for the Oscar for best film editing ! this movie submerge you into the action , Will Smith give a very strong performance , as do the know-it-all character play by Gene Hackman I highly recommend this film to anyone seek thrill ! Jason Lee also give a strong stint as the guy who discover the film of the assassination .
Movies_TV	POS	5	help the young to believe they can still survive & ` fly away ' awhile , out of the chaos all around they .
Movies_TV	POS	5	fear this dvd set , at least if you be press for time . a season full of thoroughly entertaining , enjoyable science fiction tv episode straight from the UK be to be find within , and the temptation to put the next disc in and keep watch be terribly hard to resist . David Tennant certainly have some pretty big shoe to fill -lrb- nine pair of they , actually -rrb- , but he have really do a wonderful job in take on the role of the eccentric space\/time-wandering doctor . he be as delightfully quirky as ever , yet in a more hyperactive manner . full of frenetic humor and yet less distant emotionally , with more warmth and less sarcasm than he immediate predecessor . this make he a bit more likeable but also a bit too human perhaps ; it be easier to forget that he be not of this earth , although trace of # 9 's convincingly alien mean streak remain . and he oddball sense of wonder in the face of the unknown -- even werewolf have a certain `` beauty '' for he . in general , Tennant 's Doctor will prove to be a memorable one , I suspect , faithfully true to the character 's general persona while engagingly eccentric in its own very unique way . the storytelling have thankfully improve very much since the prior season . do not get I wrong , I like `` the complete First Series '' quite a bit , but this second time around the plotline seem less rush and the solution less sudden and out of left field . more of the story be two-parter , which help immensely in this regard . after all , the good old classic `` Doctor who '' tale gradually develop through four episode of about half a hour each ; two hour-long episode back-to-back amount to much the same thing , which may be about the ideal time necessary for a Doctor who plot to unfold . this season have a good mix of story too . many be good solid straight science fiction , and this be especially so of `` rise of the Cybermen '' -lrb- okay , even if the Cybermen 's inventor do seem like a carbon copy of Davros -rrb- , and along the same line the Doomsday battle between two classic Doctor who foe in the season finale be totally and utterly inspire ! I have dream of such a confrontation ever since I be a nerdy teenager watch this show religiously on PBS . more characteristic perhaps of the season as a whole though be story that straddle the boundary between sci-fus and horror in intriguing way , include a face-off with the devil himself . sound corny , but it be actually pull off well , downright scary but with just the right dose of agnostic ambiguity . not every episode be a masterpiece , of course . the masterpiece would not stand out then . and everyone will have they favorite . but overall this be a fine year 's worth of a excellent show in its latest incarnation , the New New New New New New New New New New Doctor who .
Movies_TV	POS	5	as one of we honorable reviewer have mention , there be some technical discrepency involve in this movie . like the ' 3d rotational ' computer engine . and the lack of forensic evidence on the senator 's body . and the magical ability of gene hackman 's character to do just about anything he want to electronics in the back seat of he el-camino . but i do not mind ; if life have teach I anything , it be that screenwriter do not often have the firmest grasp on science .  then again , oftentimes movie write with gap in scientific understanding be the most enjoyable . if you get catch up in the diode and antenna of the prop , you miss the premise , which be , ` what if the gob ` ment really be plot against we ? ' - and on that premise , this movie do well .  factual discrepency aside , this be a good screenplay . it be grip and engage ; we be present with a real-life situation that follow it be cinimagraphic tangent to fruition . the actor give fantastic performance - especially the lead . it be shoot in a manner that add to the paranoid atmosphere of the film ; presumably it be what Tony Scott and Jerry Bruckhimer have in mind .  all those thing sum to make a good movie . be a eec geek from Gen-X , i particularly like the interaction between the younger character in the film . Will Smith , as i say , have he first gig not play himself , and he come off well .  anyway , i enjoy this film enough to buy it -lrb- my disc do not have any defect , although my friend 's first one do -rrb- and i think you will , too .
Movies_TV	POS	5	when I be six , I play `` Peter Pan '' in my living room , jump from sofa to chair , back to sofa , pretend to be the boy who would never grow up . on the stereo , I play the Disney soundtrack , and I know all of the song by heart . it be a feast for my imagination , and a cherish memory I shall never forget . these memory stir deep with the new release of Peter Pan on dvd from the wonderful folk at Disney . Peter Pan take the well love tale from the ingenious mind of J. M. Barrie , and put the usual Disney spin on event , to make a memorable movie . the boy who never grow up fly to London to visit wendy and she brother to retrieve a lose shadow . mayhem ensue when the brood wake up , and quickly follow pan to Neverland . I purchase the 1999 release of this movie on dvd , and I must say this new version far surpass the quality of the first . the color be more vivid , the soundtrack brighter and richer . it be a beautiful new transfer , and one well worth you money . the additional feature shed light on the Disney creative process it take to make this movie . one special feature touch I : a virtual Peter Pan flight . as you fly with Peter , he narrate a quick trip over London to Neverland . it do not last long enough , but I love it ! with some other new feature , kid friendly dvd game , and video , this new set will make for a wonderful family night ! there be a reason why , when you go to the Disney park , there be a hour plus wait for `` the Peter Pan Flight '' . why not buy this movie , and see what the fuss be all about !
Movies_TV	POS	5	Old Disney ... when Walt be alive set a precedent that be distroy by many film until Lion King .
Movies_TV	NEG	1	do not realize this be not a `` english '' item . should verify that you be purchase a non-english item . also purchase book in foreign language do not know be non-english .
Movies_TV	POS	5	Peter Pan be one hour and sixteen minute and be release in theater on February 5 , 1953 . Peter Pan tell the story of a young boy who refuse to grow up , but at time act like a adult . the story begin at the home of George and Mary Darling whose three child -lrb- wendy , John , and Michael -rrb- . after send the child to bed , George and Mary Darling leave they home to attend a formal party . Peter Pan arrive at the child 's nursery to find he shadow . when he do , Wendy offer to sew it on for he . Peter Pan offer to take the child to never land and teach they how to fly as well with faith , hope and some pixie dust from Tinker Bell . by the way to get to never land take the second star to the right and straight on till morning . as soon as they reach never land they be fire at by Captain Hook . Captain Hook want revenge at Peter for cut off he left hand and feed it to the crocodile . Peter Pan save the child . later in the day Peter Pan rescue Tiger Lily from Captain Hook who want she to reveal the location of Peter Pan . Captain Hook eventually do find Peter Pan 's hideout and plant a bomb to destroy he . Tinker Bell come to the rescue and save Peter Pan . Peter Pan fly over to Captain Hook ship and the two of they have they final fight . in the end Peter Pan take the child back home . I know I leave a lot of the story out but I want to add some other information to my review . first this be the first Peter Pan that a male actor play the lead ; in previous play and movie Peter Pan be play by a female . it be Margaret Kerry and not Marilyn Monroe who be the model for Tinker Bell . in keep with the stage version tradition , Hans Conried voice both George Darling and Captain Hook . Peter Pan be the last movie the Disney 's famed `` Nine Old Men '' work on together . also this be the last movie to be distribute by RKO Radio Pictures . in this film version Tinker Bell actually have a body ; in the stage version she be represent by a beam of light . finally this be Disney 's 14th animated feature . Peter Pan be a excellent movie and get a aaaaa + + + + + . one foot note to add , watch the audio commentary host by Roy Disney and learn more of the making of Peter Pan . dvd extra Play Movie Chapter selection Set up Sneak Peeks I. Beauty and the beast ii . Cinderella II : dream come true iii . the hunchback of Notre Dame II iv . the man adventure of Winnie the Pooh V. Tarzan and Jane VI . 101 Dalmations II VII . magic happen Bonus Features I. The make of Peter Pan II . the Peter Pan Story - original 1952 Theatrical Promotional Featurette III . Audio Commentary host by Roy Disney IV . a exclusive look at Walt Disney 's return to Neverland V. Peter Pan still Frame Gallery VI . follow the Leader Song-Along song vii . Peter Pan 's Playful Prank Storybook VIII . Pirate Treasure Hunt Game ix . dvd rom VHS EXTRAS Previews I. Mulan II . the little mermaid iii . Flubber iv . the Brave Little Toaster go to Mars V. Melody Time Bonus Feature \* you can fly ! the make of Peter Pan
Movies_TV	NEU	3	I have try Hemalayaa 's older video , she yoga for Urban live & Dosha Yoga & feel though she have good intention , she do not have enough body awareness to be teach something that be focus on have that ability & cultivate it further . she be good that she video overall would keep someone who do not work out regularly heart rate up . since this be just dancing , I figure this might be she strength , but I be wrong . the menu choice include : Intro , Play , Chapters , Bonus Performances , Music Options -lrb- music only , music w\/narration -rrb- , & other video from Acacia . the other video clip be Hemalayaa 's Yoga for young body for 1:30 , Yoga Trance Dance :30 , Duncan Wong : awaken level :30 -lrb- he be awesome -rrb- , the Elaine Petrone Method 9:44 -lrb- have a lot of video testimonial -rrb- the Bonus Performance be same music show hemalayaa w\/two girl in slow motion fade in\/out clip of they dance for almost 3 min , then hemalayaa alone for 3 min w\/paused video , slow mo , double video effect , etc. to make the dancing look better then it be & you can not follow along with this either . in the intro , Hemalayaa say be from Bangra , which be from Northern India dance -lrb- big , bold , sassy , & outrageous -rrb- & incorporate modern dance , hip-hop , even belly dancing . the 2 backup dancer be Juju & Kimberly -lrb- who be also the stage director & consultant -rrb- . in the credit , these dancer be dead last which be very unusual . the chapter be : warming -lrb- 6 min -rrb- , Playtime begin -lrb- 7 min -rrb- , footwork -lrb- 6 min -rrb- , now we be hot ! -lrb- 8 min -rrb- , ground Play -lrb- 6 min -rrb- , playful Dance -lrb- 5 min -rrb- , Cook it now ! -lrb- 9 min -rrb- the set be gorgeous , with color & texture , the music be fun , but it be loop after a few seconds & get annoying after a while want to hear the rest of the song . one of the dancer do not know when the next move be herself many time which be annoying & show they do not practice enough . the voice over cuing be ok , she do not really break anything down , or really give any body movement instruction to help you understand how to move , but since easy move , it be not so bad . she just tell you to `` get down , let go , get sassy , dance like no one 's watch '' throughout . at the playful dance portion where she be alone , she narrate kinda a routine , but very repetitious . she have you do a goddess move where you move forward toward the tv push one hip out lead ... then do a literal hip-hop run man -lrb- move backwards -rrb- though she do it in a more simplified\/corny style & alternate those . she say it be natural they go together & `` the run man be run away . . actually he be run fwd toward the goddess ... '' which make no sense . there be some good one , but very few . I get bore with the repetition . you will get you heart rate up since she incorporate a lot of hop ... like hop 3x in a row to one side , hop & wiggle you glut , then the other many time or other move like a pony from the 50s in a indian style or other move that have knee lift . the idea be there , but I still do not like Hemalayaa 's style or think she ability to dance be good enough to be teaching . I find myself follow the background dancer who know the routine instead . if you want a hybrid indian dance that be corny , silly & help you let go because it be easy & silly , this be for you . you can see a preview at the distributer Acacia com
